,trecho,pergunta 1,pergunta 2,pergunta 3,pergunta 4
56,"das eleições legislativas, outrossim, ele modificou a composição da Câmara de Representantes para nela incorporar liberianos em maior número provenientes do interior. Tornou-se, além disso, regra nomear autóctones qualificados a postos apropriados. 
No plano social, estabelecimentos de ensino foram em maior número colocados ao dispor da população das comunidades interioranas, notadamente graças à abertura, pela Igreja Episcopaliana, com o apoio das missões metodista e luterana de Gbarnga, do Cuttington College, mais de 150 quilômetros no interior das terras, ao passo que estas mesmas igrejas criavam escolas primárias em outros distritos.
Muito se realizou na Libéria durante o período considerado. Em 1960, contudo, o resultado ainda não era satisfatório. A vida no país continuava a ser dominada pela elite americano-liberiana e a política de integração e unificação nacional não progredira entrementes de forma suficiente. 
Obviamente, a economia conhecera um notável revigoramento e influxo de crescimento mas, este crescimento não se acompanhara de um real desenvolvimento e a dependência vis-à-vis do capitalismo internacional inclusive acrescera-se, em razão da subserviência das políticas de exploração dos recursos minerais aos interesses dos investidores estrangeiros. ",Como era a política ecônomica da Libéria durante a segunda metade do século XX?,,,
57,"Em 1966, a agricultura representava 53, 9 por cento do Produto Interno Bruto dos países da África ocidental e 41, 2 por cento do PIB dos países da áfrica oriental.
Entretanto, a despeito deste vivo crescimento, o valor das exportações agrícolas declinava. Entre 1953-1954 e 1971-1972, os termos da troca dos produtos primários decaíram do índice 126, em 1953, para o índice 86 em 1971 ou de 138, em 1954, para 84 em 1972. 
Esta queda concerniu 23 dos 28 artigos repertoriados pela Conferência das Nações Unidas para o Comércio e o Desenvolvimento CNUCED, dentre os quais considerável número constituíam importantes fontes de divisas para os países do continente67. 
A título de exemplo, em 1954-1955, Gana produzia 210.000 toneladas de cacau, a saber, perto de metade da produção africana, e as suas receitas com as importações alcançavam 85, 5 milhões de libras esterlinas. ","Durante o ano de 1966, em média, quanto a agricultura representava do PIB da África?","Entre 1954 e 1955, quantas toneladas de cacau foram produzidas por Gana?",,
58,"A contra-ofensiva é conduzida pelas tropas aliadas a partir da Argélia onde exércitos anglo-americanos haviam desembarcado, como no Marrocos, em 8 de novembro. A força inglesa inicia imediatamente a campanha da Tunísia, atravessando a fronteira entre a Argélia e a Tunísia. Após uma série de operações, os Aliados passam à ofensiva generalizada em 22 de abril de 1943. Em maio, a entrada dos ingleses em Túnis e dos americanos em Bizerte marcam o fim da campanha da Tunísia.
No chifre da África, desde a sua entrada em estado de beligerância, os italianos instalados na Etiópia ocupam duas cidades sudanesas fronteiriças Kassala e Gallabat e a totalidade da Somália britânica, praticamente vazia em tropas.
Em 1941, as tropas britânicas reconquistaram os territórios antes sob controle da Itália. No Tigré, o general Platt, vindo do Sudão, conquista uma vitória em Keren, ao passo que o general Cunninghan, a partir da Somália e vindo do Quênia, chega à Harar e, em seguida, à Adis-Abeba. Os dois exércitos se agrupam em Amba Alaguir onde o duque de Aoste capitula. Em 5 de maio de 1941, Haïlé Sélassié pôde voltar à capital etíope.
Os países da África setentrional e do chifre da África, transformados em campos de batalha, também fornecem soldados às diferentes frentes europeias.",Como as regiões do chifre da África foram afetadas e envolvidas no conflito durante a Segunda Guerra Mundial?,,,
59,"As grandes fortalezas da Núbia seguiram esse mesmo modelo de construção.
O mesmo planejamento urbano foi adotado no Novo Império, notadamente em Tell el-Amarna, onde as ruas se cruzavam em angulos retos, embora a própria cidade não apresentasse o mesmo rigor geometrico de Kahun.
Por certo seria arriscado sugerir que todas as cidades egípcias tinham uma disposição semelhante a de Kahun ou Tell el-Amarna, que foram construídas ao mesmo tempo e sob as ordens de um único soberano. 
Cidades que se desenvolveram aos poucos deviam ter um aspecto menos regular. Mas o fato e que os planos geometricos da cidade e a padronização das moradias revelam as tendencias do planejamento urbano egípcio. E cabe aqui uma pergunta: não seriam os egípcios os precursores do urbanismo helenico?",Como era planejamento urbano da cidade em Tell el-Amarna?,,,
60,"594 Ouagadougou Wogodogo no sentido restrito, é o bairro em que mora o chefe autóctone. 
Se a escravidão intensificou-se no decorrer desse período, geralmente às custas dos povos autóctones, particularmente os gurunsi e os fulse ou kurumba, ela ganhou amplitude sobretudo com o impulso do tráfico na costa da Guiné e suas repercussões foram sentidas até no império ashanti e nos países do Norte que dependiam de tal tráfico. 
Os povos autóctones, que eram de cultura mande ou da região do Volta, aceitavam as trocas, mas recusavam a dominação, estratégia que foi muito eficaz 
até o período colonial. Naaba Kumdumye morreu em uma das primeiras expedições para Boromo. Pode-se supor que ele tentava fazer passar para o controle moaga a zona compreendida entre os Volta vermelho e negro. Este grande plano fracassou e o Volta vermelho, com algumas exceções locais, tornou-se a fronteira ocidental natural do Mogho. ",,,,
61,"Malgrado a severidade da repressão, o poder colonial desmantelou-se. As autoridades belgas que jamais haviam seriamente projetado a descolonização do seu império, apressaram-se em improvisar e bloquear a emancipação do Congo belga. Uma conferência da Mesa-Redonda, reunida em Bruxelas em janeiro de 1960, fixou a data da independência para o dia 30 de junho do mesmo ano.
Entretanto, eram numerosas as clivagens em meio às elites congolesas. Elas diziam respeito tanto menos a estrutura ulterior da sociedade, quanto mais referiam-se à própria configuração do Estado e à orientação política do regime: 
nestas bases e, em grande parte, indiferentes às aspirações populares, estas divisões provocavam o enfrentamento entre regionalistas e nacionalistas, federalistas e unitaristas, moderados e radicais. 
A solução adotada, incerto compromisso, não produzia senão a explosão de conflitos ainda maiores: o chefe de Estado, Joseph Kasavubu, representava as correntes regionalistas, federalistas e moderadas, ao passo que o chefe de governo, Patrice Lumumba, era o símbolo das aspirações nacionalistas, unitaristas, radicais e panafricanistas.","Quem era o chefe que representava a corrente regionalista, federalista e moderada no Congo?","Quem era o chefe de governo que representava a corrente nacionalista, unitarista, radical e panafricanista no Congo?",Quando ocorreu a independência do Congo?,Qual país europeu colonizou o Congo?
62,"195 E. Williams, 1970, páginas 151. 
196 Traço comum a todas economias de plantação sustentadas pela escravatura no Novo Mundo, o nível de produção tendia a ultrapassar os níveis de consumo do próprio território dessa produção. Tal foi o ocorrido na América do Norte britânica. Entre 1714 e 1773, as plantações coloniais do Sul, Carolina, Virgínia e Maryland, exportaram oficialmente para a Grã-Bretanha o equivalente a 46,6 milhões de libras em mercadorias, enquanto que para a Nova Inglaterra, Nova Iorque e a Pensilvânia colônias sem escravos, os valores não atingiram senão 7,2 milhões de libras. Por outro lado, as importações de origem britânica para os três estados do Sul somente chegaram, para o mesmo período, a 26,8 milhões de libras em mercadorias, comparativamenteaos 37,9 milhões nos trêsestados do Norte E. Williams,1970,p. 151. Portanto,quanto à produção, ela concentrava-se nos territórios cobertos de plantações cultivadas por escravos e, no tocante ao consumo, esse ocorria nos territórios sem escravos do Atlântico. O poder aquisitivo do Norte provinha, essencialmente, da venda de produtos alimentícios e do fornecimento de serviços marítimos ou mercantis às plantações com escravos, das Antilhas e das colônias do Sul da América do Norte britânica. 
Na América Latina e nas Antilhas, o não-desenvolvimento industrial deu origem a sistemas econômicos precários, cujos setores mineiros e agrícolas dependiam fortemente das economias da Europa Ocidental e mais tarde, também dos Estados Unidos. Acrescentou-se a essa evolução o surgimento de impérios econômicos diretamente ligados à exportação e à importação, únicas atividades às quais se dedicavam os magnatas das minas e as oligarquias agrárias na América Latina e nas Antilhas. 
Uma próspera classe de negociantes, originária de uma situação que durou do século 16 ao século 18, também se consagrou a essas atividades. A extrema desigualdade na distribuição da propriedade e da renda, ligada ao regime de plantação e à escravatura, excluía a possibilidade, para qualquer outro grupo, de competir, em matéria de poder político e econômico, com a tríade constituída pelos donos de minas, pela oligarquia agrária e pelos negociantes. ",Qual o legado do regime de plantação e a escravatura para a sociedade americana?,,,
63,"A derrota militar da revolução urabista quebrou o moral do país, criando uma atmosfera de desespero e desilusão, durante o primeiro decênio da ocupação 1882-1892. Não houve resistência real dentro do próprio país, e as únicas vozes nacionalistas que se ergueram durante esse período foram as de personalidades no exílio. 
Djamal al-Din al-Afghani e Muhammad Abduh começaram em 1883 a publicar uma revista pan-islâmica, Al-Urwa al-Wuthqa O Elo Indissolúvel, cujo objetivo era libertar o Egito da ocupação inglesa agitando a opinião pública egípcia. 
A revista foi proibida no número 18, mas exerceu profunda influência no pequeno grupo de egípcios que sabiam ler – estudantes, ulama sábios muçulmanos e intelectuais. Al-Urwa encorajou a oposição aos britânicos e manteve vivo o espírito de autodeterminação8. 
Sua mensagem antibritânica foi retomada na década de 1890 por um grupo de escritores pan-islamistas, dos quais o mais importante era o xeque Ali Yusuf, que publicou em 1900 um jornal, Al-Mu ayyad, e formou em 1907 a Hizb al-lslah al-Dusturi Os Reformadores Constitucionais, organização que atacava vigorosamente a presença inglesa no Egito.",,,,
64,"Nós eliminamos o teu irmão porque ele pretendia nos forçar a tornamo-nos muçulmanos e porque ele desperdiçava os bens do Estado, em presentes aos marabutos65. Nos reinos mossi, os únicos muçulmanos até então eram os yarse. A partir do século 19, os mogho naaba aderiram abertamente à fé islâmica, criando eles próprios centros de proselitismo. 
Naaba Dulugu de Uagadugu construiu uma mesquita e transformou o imã em um importante personagem da corte. Entretanto, talvez para evitar uma mudança demasiado brutal, ele afastou o seu filho, o futuro Naaba Sawadogo, e destituiu Pwanda, chefe de Kombissiri. 
Estes dois adeptos inclusive recolheram-se em Basan-Warga dela fazendo uma base religiosa. Quando Naaba Sawadogo tomou o poder, ele restabeleceu a chefatura de Kombissiri, a qual se tornou, por sua vez, um centro da religião, além de enviar o seu próprio filho à escola corânica de Sarabatenga Yarse. 
Sob Naaba Karfo, o rebelde Naaba Wobgho de Lalle encontraria o imã de Uagadugu, para solicitar-lhe que intercedesse em seu favor junto ao rei. Ao final dascontas, Naaba Kutu recebera uma verdadeira educação corânica. ",,,,
65,"Antes de abandonar o Egito, em setembro de 1517, Selim colocou Khayr Bey, o antigo emir mameluco, à frente da província do Egito, decidindo mantê-la na condição de entidade administrativa única. O tempo que duraram as funções de Khayr Bey pode ser considerado como o período da transição para a autoridade otomana, sem concessão sobre o território conquistado. 
Khayr Bey teve que abandonar a gestão do conjunto do território do antigo Egito, apesar do fato de dispor apenas de meios limitados para sustentar sua autoridade. Ele governou o Egito mais como vassalo do Sultão do que como administrador de província, ainda que seu mandato tenha sido renovado em termos oficiais, de forma que ele ocupou essa função até sua morte, ocorrida em 1522. 
Conservou o seu título mameluco Malik al-umara rei daqueles que comandam, mantendo sua corte segundo o ritual dos sultões mamelucos. Também se cercou de antigos dignitários mamelucos, dispostos a servir ao novo regime, confiando-lhes não só importantes tarefas na gestão das finanças, mas também cargos políticos e militares. Ademais, as modalidades da antiga administração não foram em nada modificadas e o pessoal administrativo permaneceu, por assim dizer, idêntico. 
A organização da justiça continuou baseada em um sistema de quatro juízes supremos, um para cada escola de direito. ",,,,
66,"Os esforços de Buta estão ligados à onda de agitações que começava a nascer no meio dos africanos convertidos, decepcionados com o cristianismo. Onde se vissem incapazes de expressar a hostilidade ao colonialismo, ou se ressentissem das discriminações existentes no seio das igrejas protestantes, dominadas pelos europeus, os africanos criavam igrejas independentes ou separatistas, para remediar a situação. 
Essas formações religiosas autônomas proliferaram na Niassalândia e na Rodésia do Norte durante a primeira década do século 20.
A mais célebre talvez tenha sido a igreja etíope, fundada por Willie Mokalapa.
Mokalapa e seus discípulos não cessavam de protestar contra a discriminação exercida pelos missionários europeus e a existência de uma verdadeira barreira que negava aos africanos qualificados a possibilidade de subir na escala social. A longo prazo, eles queriam provar que os africanos eram capazes de dirigir suas próprias atividades religiosas e seculares, independentemente dos europeus57. ",,,,
67,"A resolução de compromisso latino-americana, adotada em fevereiro de 1957 após a recusa do projeto afro-asiático perante a Comissão Política, circunscreveu-se em considerações suficientemente genéricas e vagas, a ponto de não afetar em demasia a susceptibilidade francesa, sequer mencionando o direito do povo argelino à 
autodeterminação e restringindo-se a expressar a esperança em uma rápida e pacífica solução, inspirada no espírito de cooperação, democrática e justa, com a ajuda dos meios apropriados e em conformidade com os princípios da Carta das Nações Unidas. 
Contudo, este voto representava um sucesso para a FLN, na justa medida que ele indiretamente afirmava a competência das Nações Unidas. O mesmo cenário desdobrou-se durante a sessão de setembro de 1957: 
inscrição, sem debate, na ordem do dia e sem a oposição da França que, mantendo a sua argumentação jurídica, visava conduzir os debates a bom termo, intuindo responder às acusações e calúnias contra ela dirigidas e não deixar aos seus adversários o monopólio da tribuna. ",,,,
68,"Evocando o rio Congo Zaire comoumalinha de partida,ogeógrafo Gilles Sautter sublinhou notavelmente o papel do majestoso rio da África Central: O Congo não é apenas, por seus canais e suas grandes ilhas, um mundo original justaposto às áreas vizinhas. 
Ele representa também, para essas últimas, um fator de coordenação e de integração regional. Sua influência é ao mesmo tempo direta, como fonte reguladora de água, e indireta, como grande via navegável, oferecida às iniciativas humanas1020. 
Com efeito, até a colonização, o rio serviu como poderoso traço de união entre os diferentes povos da imensa bacia congolesa. 
Esse papel não concerne apenas ao rio em si, em sua parte navegável, rio acima do Pool Malebo; é igualmente devido a seus múltiplos afluentes, particularmente o Alima, o Likuala, o Sangha, o Ubangui, na margem direita e o Kwa, o Ruka, o Ikelemba e o Lulonga na margem esquerda. Desde tempos visivelmente muito antigos, organizou-se um notável sistema de trocas, sem parar de aumentar em tamanho e complexi",,,,
69,"Jamais, na realidade, os colonos europeus do Quênia se haviam beneficiado de uma situação tão favorável. Além do estímulo provocado nos preços de atacado, pela grande proximidade de unidades militares e pelo papel de fornecedor ao Oriente Médio, desempenhado pelo Quênia, Nairóbi tornara-se o centro nervoso da produção e da distribuição para toda África Oriental britânica e os colonos detinham a direção de incontáveis comitês. 
Na realidade, eles pareciam tão potentes no Quênia do pós-guerra que o Sessional Paper 210, ao aumentar o número de representantes não governamentais no seio do Conselho Legislativo queniano e prever a eleição de um membro suplementar para o conjunto do Conselho, veio simbolizar, aos olhos da elite africana, a vontade dos europeus em assegurar para si praticamente uma maioria permanente no interior deste organismo.
Pouco após o desencadeamento da revolta mau-mau e da declaração de estado de emergência, em outubro de 1952, a Kenya African Union KAU endereçou um memorando ao secretário de Estado britânico para as colônias, no qual figurava a seguinte passagem: 
Os distúrbios atuais são devidos, em larga medida, ao fato dos africanos não estarem suficientemente associados à máquina governamental, o que lhes proporcionaria o sentimento de serem elementos ou verdadeiros parceiros do governo do país. Isto tem como dupla consequência, privar o governo da opinião refletida dos africanos na definição da sua política e, inclusive, criar no espírito do povo a impressão que o governo não age segundo os interesses dos africanos, em razão da sua composição. ",Qual país europeu colonizou o Quênia?,Qual a importância do Quênia para a África Oriental britânica?,,
70,"De Maroantsetra chegaram ao interior, parando nas nascentes do Vaharina, na extremidade ocidental das falésias de Angavo. Vohidrazana, ao norte de Tamatave, e Ambatomasina Vohidrazana de Noramanga constituíram algumas etapas desta caminhada1143. 
Os relatos dos viajantes árabes do século 13, e mesmo dos europeus no 16, corroboram a hipótese de uma chegada tardia de imigrantes indonésios na costa leste1144. As tradições dos Betsileo também evocam o mesmo caminho para os imigrantes, da costa às nascentes do Mahatasiatra, conduzidos por Iarivo, fundador 
das dinastias locais. Foi uma penetração lenta, que nada teve de invasão maciça e brutal, como nos mostra claramente a análise das tradições. 
1142 RAMILISON, 1951-1952. ",,,,
71,"Antes de apresentar a situação global dos Estados haussa, convém assinalar algumas variantes regionais855. No Zamfara, o karfi juntava toda a arrecadação efetuada pelos sarakunan rafi arrecadador do imposto sobre as pastagens. 
Nesse Estado, o sal e o natrão de Nguru, recolhidos nas margens do Lago Chade, haviam sido comercializados antes do sal de Bilma e o do Dallol Fogha. Da mesma maneira, o cavalo dan Bahar, procedente do Bahr al Ghazal e muito apreciado em todo país haussa, era usado na cavalaria e para o acasalamento com as espécies locais. Quanto ao Kebbi, exportava sal para Nupe, Ilorin e Gwanja, de onde recebiam em troca túnicas e nozes-de-cola. 
Várias feiras internacionais localizavam-se no interior e na periferia da região. 
No Norte, Agades e Bilma permaneciam os centros de ligação com a África do Norte; no centro, o Katsina e o Kano serviam como elo nas relações Norte-Sul e Leste-Oeste; no Sul, Zaria, Birnin Gwari e Birnin Yawuri permitiam às diferentes redes comerciais estender-se até o Ioruba, o Nupe, o Borgu e o Gwanja ",,,,
72,"Sem modificar em nada os papéis, o primeiro esforço para corrigir essa interpretação limita‑se a modificar os julgamentos de valor. 
De heróis a serviço da civilização em marcha, os desbravadores, governadores das colônias, oficiais do exército, tornam‑se cruéis exploradores. O africano aparece como vítima inocente, a quem se atribuem apenas atitudes passivas. É sempre a um punhado de europeus que a África e sua história devem o que são. Sem dúvida, os europeus desempenharam às vezes os principais papéis durante o período colonial, mas todas as revisões fundadas em novas pesquisas em nível local permitem minimizar a influência européia tal como foi vista na história colonial publicada antes de 1960.
Um segundo passo em direção à descolonização da história do período colonial se dá paralelamente à vaga de movimentos nacionalistas pela independência. Eis que os africanos desempenham um papel na história: é necessário traze‑lo à luz do dia. Os especialistas em ciência política que escreveram no período dos movimentos de independência derrubaram as barreiras76.
Pouco depois, sobretudo durante os anos 60, os estudiosos começaram a retroceder o tempo, buscando as raízes da resistência e dos movimentos de protesto no início da época colonial e, mais longe ainda, nas primeiras tentativas de resistência ao jugo europeu77. ",,,,
73,"A imagem acima, em branco e preto, em plano geral, retrata uma pintura rupestre. Um grupo formado por cinco homens, todos voltados para o lado esquerdo. Os três primeiros estão segurando o arco e a flecha levantados, os dois últimos seguram o arco mas não preparados. Descrição finalizada.
Figura 26.2 Grupo de homens com arcos, flechas e aljavas. Cabia aos homens caçar e preparar armadilhas para animais a fim de complementar o aprovisionamento, em grande parte vegetal, obtido pelas mulheres. 
A imagem acima, em preto e branca, em plano geral, retrata homens pescando. A imagem feita de baixo para cima mostra vários peixes e quatro barcos pequenos e individuais. Descrição finalizada.
Figura 26.3 Cena de pesca de Tsoelike, Lesoto. Os caçadores-coletores da África austral eram também pescadores; apanhavam tanto espécies marinhas como fluviais, usando técnicas variadas; a técnica aqui representada parece envolver pequenos barcos ou jangadas.",,,,
74,"Seriam justamente os interesses de toda a comunidade internacional ou aqueles de um único campo que a ONU fizera triunfar? Estas questões, às quais somente a história poderá responder, em nada mudam os fatos: 
a intervenção da ONU, requerida por Patrice Lumumba, era necessária. A Guerra Fria não foi importada para o Congo pela organização internacional, ela instalou-se nesse contexto porque este país era, a um só tempo, um dos mais ricos da África em virtude dos seus recursos minerais e um dos mais vulneráveis obra do colonialismo belga. Sem a ONU, o que teria advindo ao Congo? Com a ONU, ele ao menos sobreviveu.
No Congo, a ONU desempenhou, integral e efetivamente, os três papéis por ela exercidos na África. Ela por vezes mostrou a face de uma potência imperial coletiva; os erros que ela então cometeu, por omissão ou no tocante às ordens, custaram a vida de Patrice Lumumba. 
No Congo, a ONU igualmente apresentava-se como parceira da África em prol do seu desenvolvimento, além de se ter esforçado, a este respeito, para salvaguardar os pré-requisitos necessários, a integridade nacional e a estabilidade política do frágil Congo. Entretanto, a ONU também foi a aliada da África naquilo que concerne à sua luta de libertação, quando ela dedicou-se a impedir o surgimento de novas formas de colonização no Congo pelos belgas e por outros.",Quem requerou a internação da ONU no Congo?,Qual país europeu colonizou o Congo?,,
75,"Esse quadro comercial mostra que boa metade do continente já era implicada em trocas de grande escala e que, na maioria das outras partes, se formavam redes regionais. Uma verdadeira ausência de rede, mesmo que regional, é rara, embora isso tenha acontecido em alguns redutos: 
Namíbia e região do cabo, floresta da Libéria e, talvez, as regiões adjacentes, interior da África Oriental e parte das savanas entre Camarões e o Nilo Branco Mas talvez essa impressão apenas provenha de nossa ignorância. 
De toda maneira, se comparada à época precedente, a situação continental renovou-se totalmente. A integração do Saara, da África Ocidental, da costa oriental e do interior de parte do Zimbábue e do Transvaal em um comércio intercontinental era nova, como o era o desenvolvimento das redes regionais de comércio. Esse dinamismo comercial foi um primeiro fruto da sedentarização e do ajuste dos sistemas descritos. 
Apesar das incógnitas, sabemos doravante o suficiente para afirmar que essa época representa um ponto de partida, na base do qual as economias e o comércio, entre 1100 e 1500, desenvolver-se-iam ainda em intensidade, volume e complexidade. As redes regionais desenvolver-se-iam e juntar-se-iam, sempre em posição subalterna em relação às áreas do comércio internacional e, por volta de 1500, quase não sobraria nenhum setor fora de uma área comercial regional. ",,,,
76,"Foi entre os filhos de Dunama DIbalami que ocorreu a primeira sucessão colateral um irmão sucedendo ao outro; mas é preciso notar que Kaday ben Dunama c. 1248-1277 e BIr ben Dunama c. 1277-1296 eram filhos de mães diferentes. A mãe de Kaday devia ser uma Magomi, enquanto a de BIr 
551 IBN FURTuWA, 1932, fólio 5. 
possivelmente descendia de um dos antigos clãs do Kanem. Essa interpretação deve ser vista sob a luz do importante comentário que os cronistas deixaram, a propósito do reinado de Dunama DIbalami: 
No seu tempo, os filhos do sultão dividiram-se em facções; antes, não havia facções Diwan, parágrafo 17. Parece plausível concluir que a rivalidade entre a descendência de Kaday e a de BIr refletisse conflitos dinásticos que já haviam eclodido na primeira metade do século 13. Na base desses conflitos estava, provavelmente, o crescente antagonismo entre a linhagem real dos Magomi e as linhagens dos sedentários do Kanem. ",,,,
77,"Os tecidos foram bem estudados, apreciações em J. PICTON e J. MACK, 1979; R. SIEBER, 1972. Entretanto, a maioria dos estudos não são históricos ou concernentes à arte e ao corpo. 
formando figuras exemplares a serem imitadas56 pois, a arte corporal tradicional não era imutável. Desta forma, são conhecidas as modas características da corte de Kuba no início do século 20, assim como aquelas de Ruanda. Durante uma década, a moda entre os jovens dandy kuba caracterizou-se pelos altos chapéus.
Em Ruanda, junto aos homens da alta sociedade, o penteado masculino que causava furor era um corte de cabelo no qual se deixava tufos arredondados, imitando o penteado das jovens núbeis da alta sociedade. Esta moda, iniciada aproximadamente em 1900, não mais seria vigente no ano de 194557. Os mesmos homens exibiram togas de tecidos floridos, desde os derradeiros anos do século 21 até por volta de 1950, momento no qual as vestimentas europeias tornaram-nas démodées. 
Em 1935, o regime colonial desde muito produzira os seus efeitos e propusera, em nome da civilização, a abolição de grande parte das artes do corpo, a tal ponto que os estudos científicos sobre a pintura corporal e a escarificação são raros e tardios58. Tatuagens e escarificações eram julgadas bárbaras, à imagem da nudez, sobretudo pintada59. Muitos ornamentos igualmente foram desestimulados, em nome da economia, dos bons hábitos no trabalho e do conforto. ",,,,
78,"Para manter a paz e a ordem no país, o presidente Barclay enviou um des tacamento da Força de Fronteira às zonas Kru e Grebo em maio de 1931, com instruções específicas: o comandante américo-liberiano, o coronel T. Elwood Davis, foi avisado de que seu destacamento deveria fazer uma demonstração de força e não uma expedição punitiva94. 
Mas, no decurso da operação, houve combates entre o destacamento e os Kru de Sasstown, dirigidos por seu régulo, Juah Nimley, combates estes que forneceram novas razões para a intervenção externa nos assuntos liberianos.
Alguns relatórios parciais enviados à Sociedade das Nações, como o de Rydings, encarregado de negócios do Reino Unido em Monróvia95, descreveram a operação como uma expedição punitiva e acusaram o governo liberiano de se lançar contra as vidas e os bens do povo Kru.
Como seria de esperar, os governos britânico e americano reagiram a tais relatórios, exigindo que o governo liberiano cessasse com essas pseudo-represálias militares contra os Kru, aguardando a conclusão de um acordo entre a Sociedade das Nações, os Estados Unidos e a Libéria sobre a futura administração do país96. ",,,,
79,"Além disso, tinha-se a cultura egípcia em tão alta consideração que os sabios do Império logo passaram a viver em Alexandria. Enquanto se manteve o reinado dos Ptolomeus, Alexandria foi considerada como a capital intelectual do mundo mediterrânico. Falava-se dessa cidade como se não se situasse no Egito, mas próximo ao Egito (Alexandria ad Aegyptum). 
Estrabao definiu- a da seguinte maneira: “A principal vantagem da cidade esta no fato de ser o único lugar em todo o Egito igualmente bem situado para o comércio marítimo, em virtude da excelencia dos seus portos, e para o comércio interno, pois o rio fácilita o transporte de todas as mercadorias e reune- as nesse lugar que se transformou no maior mercado do mundo habitado”208.
Nessas poucas linhas, porem, Estrabao excede nos elogios ao local descrito e fica bem longe de pintar um quadro completo de Alexandria.
A construção da cidade e dos seus portos exigiu, de fato, uma grande quantidade de mão de obra durante um período bastante longo209.",,,,
80,"Os centros de movimentação intelectual continuavam a ser as grandes cidades; os lucros advindos do comércio propiciaram o surgimento de uma classe de letrados dedicada à religião e aos estudos. 
A prosperidade geral atraiu para as cidades do Níger estudiosos de todas as regiões do Sudão e do Sahel409. Sem dúvida, a universidade mais célebre foi a de Tombuctu, que nos deu os dois Tarikh ; apesar de escritos no século 17, constituem a obra histórica mais monumental já produzida no Sudão. 
A universidade, centro de aquisição e difusão de conhecimento, não era uma instituição organizada como na África setentrional; compreendia grande número de escolas autônomas, destacando-se a famosa mesquita de Sankoré, que ministrava o ensino superior. Tombuctu abrigava, no século 16, cerca de 124 escolas corânicas frequentadas por milhares de estudantes de todas as regiões do Sudão e do Sahel, que moravam com os professores ou em alojamentos especiais.
Os professores, apesar de não remunerados, não enfrentavam dificuldades materiais, dedicando todo o seu tempo aos estudos.",,,,
81,"Os resultados mostraram uma diversidade muito maior do que o supunham as teorias sobre a estabilidade das populações a longo prazo algumas variações poderiam ser explicadas por erros nos dados. Não obstante, torna-se claro que, na sua maior parte, as populações subsaarianas estão incluídas entre aquelas cuja taxa média de fecundidade das mulheres, durante o período de procriação, atingia 6, 5 a oito filhos nascidos vivos e cuja taxa bruta de natalidade se aproxima dos 50 por mil, ou ainda mais. 
Constitui exceção uma área delimitada: na África central, um retângulo de mais de 5 milhões de km, englobando Gabão, Camarões, a República Popular do Congo, a República Centro-Africana e boa parte do norte do Zaire. Nessa área, a taxa média de natalidade por mulher aparentemente não passa de seis e, em certas regiões, o número cai para quatro.
A taxa bruta do conjunto do retângulo era certamente inferior a 40 por mil na época em que nasceram as crianças recenseadas – dos anos 1940 aos anos 1960.
Estes números poderiam ser em boa parte imputados ao grande número de mulheres que não tinham filho algum, número que em certas áreas chegava a dois quintos da população feminina.",,,,
82,"4 Ibid., p. 392. 
invés de efetuar viagens de controle, os administradores passavam o seu tempo a redigir relatórios. Se os primeiros administradores se dedicavam a conhecer o seu país e até mesmo escrever livros a respeito, após a Primeira Guerra Mundial, os administradores formados na Escola Colonial possuíam sobre o lugar apenas uma formação teórica. 
Em razão disso, havia cada vez menos especialistas e cada vez mais burocratas intercambiáveis, aplicando os mesmos princípios e os mesmos métodos, tanto em Agades quanto em Sassandra5, em nada preocupados com as realidades locais.
O comandante de círculo era o principal representante do poder colonial conhecido pelos africanos. Tratava-se de um déspota local em um sistema despótico. ",,,,
83,"Assim sendo, alguns defendem que o povoamento desse litoral da alta Guin. É seria a consequência de um deslocamento contínuo de populações do interior rumo à costa. Porém, no próprio seio dessa escola, há divergências de opiniões quanto à data em que essa migração teria começado. Desse modo, McCall remonta a -5000, ao indicar o momento em que, segundo ele, enquanto o ressecamento do Saara começava a acentuar-se, os ancestrais dos mande manden teriam descido rumo ao Sahel, lá introduzindo o conhecimento da agricultura1370 
A.A.M Corrêa vê na pressão exercida pelos Estados do Sudão ocidental um fator determinante e situa o início da migração rumo ao litoral no século 3. 
da Era Cristã1371 Opostamente, W Rodney estima que o movimento tenha, em larga escala, sido precipitado por acontecimentos políticos ocorridos nos Estados sudaneses1372 em época relativamente recente, em função deles não remontarem sequer ao século 10. 
1368 Ibidem, página 13; U UKWU, 1967, página 650 ",,,,
